"month","monthly_revenue","prev_monthly_revenue","revenue_diff_vs_previous"
2022-01-01 00:00:00.000,2637838.0,,
2022-02-01 00:00:00.000,2710823.0,2637838.0,72985.0
2022-03-01 00:00:00.000,2686534.5,2710823.0,-24288.5
2022-04-01 00:00:00.000,2597114.2,2686534.5,-89420.25
2022-05-01 00:00:00.000,2807943.8,2597114.2,210829.5
2022-06-01 00:00:00.000,3166337.5,2807943.8,358393.75
2022-07-01 00:00:00.000,3805577.5,3166337.5,639240.0
2022-08-01 00:00:00.000,3066432.0,3805577.5,-739145.5
2022-09-01 00:00:00.000,2750294.2,3066432.0,-316137.75
2022-10-01 00:00:00.000,2704776.2,2750294.2,-45518.0
2022-11-01 00:00:00.000,3000718.0,2704776.2,295941.75
2022-12-01 00:00:00.000,3274581.2,3000718.0,273863.25
2023-01-01 00:00:00.000,2835327.2,3274581.2,-439254.0
2023-02-01 00:00:00.000,2584147.8,2835327.2,-251179.5
2023-03-01 00:00:00.000,2697718.0,2584147.8,113570.25
2023-04-01 00:00:00.000,2653229.2,2697718.0,-44488.75
2023-05-01 00:00:00.000,2865422.5,2653229.2,212193.25
2023-06-01 00:00:00.000,3096720.0,2865422.5,231297.5
2023-07-01 00:00:00.000,3827574.2,3096720.0,730854.25
2023-08-01 00:00:00.000,3035740.0,3827574.2,-791834.25
2023-09-01 00:00:00.000,2829690.8,3035740.0,-206049.25
2023-10-01 00:00:00.000,2759846.8,2829690.8,-69844.0
2023-11-01 00:00:00.000,2898606.5,2759846.8,138759.75
2023-12-01 00:00:00.000,3289167.8,2898606.5,390561.25
