"country_name","shop_id","shop_address","total_sales_count","total_sales_amount","country_total_amount","country_sales_share","place","country_running_total"
France,45,SHOP0045 Roberson Passage,44173,4623384.0,29386394,0.15733077,1,4623384.0
France,49,SHOP0049 Victor Hill,44245,2881025.2,29386394,0.098039426,2,7504409.0
France,41,SHOP0041 Thomas Streets,38238,2609650.5,29386394,0.08880472,3,10114060
France,46,SHOP0046 Eric Villages,37768,2413396.0,29386394,0.082126305,4,12527456
France,43,SHOP0043 Samuel Hills,31558,2341060.0,29386394,0.07966476,5,14868516
France,36,SHOP0036 Joseph Walk,24806,2191637.8,29386394,0.074580014,6,17060154
France,39,SHOP0039 Jones Manors,18908,1800005.0,29386394,0.061253008,7,18860160
France,42,SHOP0042 Michele Plains,19146,1683948.5,29386394,0.05730368,8,20544108
France,38,SHOP0038 Thomas Crest,31425,1631599.6,29386394,0.05552228,9,22175708
France,44,SHOP0044 Matthew Shore,18650,1303287.8,29386394,0.04435004,10,23478996
France,34,SHOP0034 Pamela Stream,18635,1246825.0,29386394,0.04242865,11,24725820
France,35,SHOP0035 William Roads,18691,1240736.5,29386394,0.04222146,12,25966556
France,40,SHOP0040 Hernandez Trace,12721,853240.6,29386394,0.029035227,13,26819796
France,37,SHOP0037 Tyler Union,18917,800465.94,29386394,0.02723934,14,27620262
France,47,SHOP0047 Dunn Squares,31405,663920.6,29386394,0.02259279,15,28284182
France,48,SHOP0048 Myers Springs,12577,655152.44,29386394,0.022294413,16,28939334
France,50,SHOP0050 Jordan Spurs,12685,447060.53,29386394,0.015213181,17,29386394
Germany,12,SHOP0012 Horn Points,50266,6992792.0,70592760,0.0990582,1,6992792.0
Germany,23,SHOP0023 Rush Manors,62875,6029820.5,70592760,0.08541698,2,13022612
Germany,26,SHOP0026 Murray Path,44446,4583210.0,70592760,0.06492465,3,17605822
Germany,27,SHOP0027 Karen Falls,43999,3729163.5,70592760,0.05282643,4,21334986
Germany,22,SHOP0022 Baker Via,37745,3410611.5,70592760,0.0483139,5,24745598
