"shop_id","shop_address","country","total_sales_count","total_sales_amount"
1,SHOP0001 Moore Mills,Germany,12503,968780.8
2,SHOP0002 Nicole Station,Germany,25090,1712125.8
3,SHOP0003 Christy Creek,Germany,31611,1823565.9
4,SHOP0004 Candace Isle,Germany,12626,559321.1
5,SHOP0005 Lopez Groves,Germany,25002,1238840.5
6,SHOP0006 Allen View,Germany,18976,2014443.0
7,SHOP0007 Jones Canyon,Germany,12661,1370947.4
8,SHOP0008 Rachael Mountain,Germany,31426,1457619.9
9,SHOP0009 Hart Locks,Germany,25203,1183693.4
10,SHOP0010 Fernandez Inlet,Germany,12559,704996.44
11,SHOP0011 Stacy Alley,Germany,56515,2969325.2
12,SHOP0012 Horn Points,Germany,50266,6992764.0
13,SHOP0013 Arellano Ramp,Germany,18948,1252597.9
14,SHOP0014 Barnes Union,Germany,25076,1393428.5
15,SHOP0015 Hurst Ferry,Germany,18887,1452346.4
16,SHOP0016 Michael Ford,Germany,43942,2236846.8
17,SHOP0017 Katherine Trace,Germany,31460,2214590.0
18,SHOP0018 Anthony Radial,Germany,25007,777036.44
19,SHOP0019 Gill Glen,Germany,25144,2471977.5
20,SHOP0020 Martinez Trail,Germany,25331,1909246.0
21,SHOP0021 Virginia Tunnel,Germany,18906,898036.25
22,SHOP0022 Baker Via,Germany,37745,3410614.2
23,SHOP0023 Rush Manors,Germany,62875,6029812.0
24,SHOP0024 Gregory Burg,Germany,31538,3205146.2
25,SHOP0025 Devon Lodge,Germany,24927,1846694.4
